,Acetate,Propionate,Butyrate,g/L
0,0.5,0.5,0.5,7.419999999999999
1,1.5,0.5,0.5,11.43
2,0.5,1.5,0.5,12.386666666666665
3,1.5,1.5,0.5,17.176666666666666
4,0.5,0.5,1.5,13.646666666666667
5,1.5,0.5,1.5,18.013333333333335
6,0.5,1.5,1.5,18.976666666666667
7,1.5,1.5,1.5,23.516666666666666
8,1.0,1.0,1.0,14.783333333333333
9,1.0,1.0,1.0,14.483333333333334
10,1.0,1.0,1.0,14.709999999999999
11,1.0,1.0,1.0,15.200000000000001
12,0.0871290708247231,1.0,1.0,11.433333333333332
13,1.912870929175277,1.0,1.0,18.896666666666665
14,1.0,0.0871290708247231,1.0,10.073333333333332
15,1.0,1.912870929175277,1.0,20.23
16,1.0,1.0,0.0871290708247231,8.736666666666666
17,1.0,1.0,1.912870929175277,21.599999999999998
18,1.0,1.0,1.0,15.226666666666667
19,1.0,1.0,1.0,15.6
20,1.0,1.0,1.0,15.229999999999999
21,1.0,1.0,1.0,15.43
22,1.0,1.0,1.0,12.756666666666668
23,3.0,1.0,1.0,18.563333333333333
24,1.0,3.0,1.0,20.896666666666665
25,3.0,3.0,1.0,21.55666666666667
26,1.0,1.0,3.0,24.919999999999998
27,3.0,1.0,3.0,23.636666666666667
28,1.0,3.0,3.0,23.953333333333333
29,3.0,3.0,3.0,22.26
30,2.0,2.0,2.0,23.676666666666666
31,2.0,2.0,2.0,24.396666666666665
32,2.0,2.0,2.0,24.926666666666666
33,2.0,2.0,2.0,24.376666666666665
34,0.1742581416494462,2.0,2.0,20.919999999999998
35,3.825741858350554,2.0,2.0,21.689999999999998
36,2.0,0.1742581416494462,2.0,18.55
37,2.0,3.825741858350554,2.0,22.083333333333332
38,2.0,2.0,0.1742581416494462,15.910000000000002
39,2.0,2.0,3.825741858350554,23.77
40,2.0,2.0,2.0,22.42
41,2.0,2.0,2.0,22.86
42,2.0,2.0,2.0,23.34
43,2.0,2.0,2.0,22.646666666666665
